no,id,name,p_type,s_type,rarity,height,weight,ovr,a_ovr,hgt,str,spe,jmp,end,ins,dnk,ft,fg,tp,oiq,diq,drb,pss,reb,r_total,to_evo,from_evo,evo_age,evo_item,evo_ability,mega_evo,mega_x,mega_y,form,form_item,form_ability
1,1,Bulbasaur,Grass,Poison,Rare,28,15,29.56,20,19,32,33,32,50,27,28,33,42,28,22,30,41,33,35,485,2,,19,,,,,,,,
2,2,Ivysaur,Grass,Poison,,39,29,36.69,29,33,39,41,39,50,34,33,39,47,34,25,35,48,41,43,581,3,1,22,,,,,,,,
3,3,Venusaur,Grass,Poison,,79,221,47.28,48,67,49,51,49,50,44,41,49,54,42,25,36,58,51,52,718,,2,,,,10033,,,,,
3,10033,Mega Venusaur,Grass,Poison,,94,343,52.67,57,70,49,51,49,50,53,49,58,61,51,33,44,68,61,64,811,,,,,,,,,,,
4,4,Charmander,Fire,,Rare,24,19,29.51,20,15,29,43,42,50,29,29,34,40,26,30,24,33,26,32,482,5,,19,,,,,,,,
5,5,Charmeleon,Fire,,,43,42,36.65,29,37,38,51,49,50,35,34,40,47,34,32,20,41,33,39,580,6,4,22,,,,,,,,
6,6,Charizard,Fire,Flying,,67,200,47.26,48,59,48,61,59,50,45,42,50,57,46,38,26,51,43,50,725,,5,,,,,10034,10035,,,
6,10034,Mega Charizard X,Fire,Dragon,,67,244,52.60,57,59,48,61,59,50,66,61,70,64,54,43,43,51,43,61,833,,,,,,,,,,,
6,10035,Mega Charizard Y,Fire,Flying,,67,222,52.65,57,59,48,61,59,50,55,50,60,73,66,45,29,66,58,50,829,,,,,,,,,,,
7,7,Squirtle,Water,,Rare,20,20,29.51,20,11,31,32,31,50,27,28,32,36,22,32,34,40,33,44,483,8,,19,,,,,,,,
8,8,Wartortle,Water,,,39,50,36.66,29,33,39,40,38,50,34,34,40,42,28,30,34,48,41,51,582,9,7,22,,,,,,,,
9,9,Blastoise,Water,,,63,189,47.22,48,56,49,50,48,50,44,42,50,49,36,36,39,61,53,58,721,,8,,,,10036,,,,,
9,10036,Mega Blastoise,Water,,,63,223,52.62,57,56,49,50,48,50,54,50,60,65,56,47,46,66,58,63,818,,,,,,,,,,,
10,10,Caterpie,Bug,,Common,12,6,16.39,6,5,32,33,32,50,18,21,23,21,10,10,8,7,5,28,303,11,,18,,,,,,,,
11,11,Metapod,Bug,,Uncommon,28,22,20.24,10,19,34,26,24,50,13,16,18,23,12,12,20,12,10,38,327,12,10,19,,,,,,,,
12,12,Butterfree,Bug,Flying,,43,71,36.08,28,37,39,46,44,50,25,27,31,50,38,25,23,48,41,35,559,,11,,,,,,,,,
13,13,Weedle,Bug,Poison,Common,12,7,16.37,6,5,29,36,34,50,20,23,26,21,10,12,4,7,5,25,307,14,,18,,,,,,,,
14,14,Kakuna,Bug,Poison,Uncommon,24,22,20.23,10,15,32,28,27,50,15,18,21,23,12,20,15,12,10,35,333,15,13,19,,,,,,,,
15,15,Beedrill,Bug,Poison,,39,65,36.12,28,33,42,48,47,50,48,45,53,33,20,31,20,48,41,30,589,,14,,,,10090,,,,,
15,10090,Mega Beedrill,Bug,Poison,,55,89,47.20,48,49,42,79,74,50,74,69,77,18,8,43,28,48,41,30,730,,,,,,,,,,,
16,16,Pidgey,Normal,Flying,Common,12,4,21.22,11,5,29,39,37,50,25,27,31,28,16,16,12,22,18,30,385,17,,19,,,,,,,,
17,17,Pidgeotto,Normal,Flying,Uncommon,43,66,30.93,21,37,41,46,45,50,33,33,38,36,22,18,12,33,26,38,508,18,16,20,,,,,,,,
